,classification
TRANSFERASE/TRANSFERASE INHIBOTOR,1
RNA BINDING PROTEIN/STRUCTURAL PROTEIN,1
Hydrolysis/Apoptosis,1
HYDROLASE (PROTEINASE),1
Solute Binding Protein,1
ACYLPHOSPHATASE,1
XYLANASE A,1
GLUTATHIONE REDUCTASE,1
"Cytokine, HORMONE/GROWTH FACTOR",1
UBIQUITIN-CONJUGATING ENZYME,1
"Metal binding protein, Oncoprotein",1
"OXYGEN TRANSPORT,OXIDOREDUCTASE",1
GLYCOGEN METABOLISM,1
carbohydrate-binding module,1
SULFOTRANSFERASE,1
"hydrolase, hydrolase inhibitor",1
CHOLESTEROL BINDING PROTEIN,1
CARBOXYLIC ESTER HYDROLASE ZYMOGEN,1
"Sugar Binding Protein,Signaling Protein",1
Viral protein inhibitor,1
AMP-BINDING PROTEIN,1
apoptosis regulator,1
ELECTRON TRANSPORT (FLAVO PROTEIN),1
Avirulence Protein,1
"SIGNALING PROTEIN, SIGNAL TRANSDUCTION",1
CASPASE RECRUITMENT DOMAIN,1
INTIMIN,1
SAPOSIN FOLD,1
LIGASE/Inhibitor,1
CONDENSING ENZYME,1
MOLYBDOPTERIN NUCLEOTIDYL-TRANSFERASE,1
INHIBITORY RECEPTOR,1
AGGLUTININ,1
HYDROLASE (O-GLUCOSYL),1
TRANSHYDROGENASE,1
VIRAL PROTEIN/Inhibitor,1
"CD36-BINDING PROTEIN,CELL ADHESION",1
ATPASE,1
"OXIDOREDUCTASE, NUCLEAR PROTEIN",1
DIESTER-BINDING PROTEIN,1
PHEROMONE-BINDING,1
TRANSFERASE/Transferase inhibito,1
GREENFLUORESCENT PROTEIN,1
INITIATION FACTOR,1
LIPOPOLYSACCHARIDE-BINDING PROTEIN,1
"DNA BINDING PROTEIN, SUGAR BINDING PROTEIN",1
COMPLEX (CHROMOSOMAL TRANSLOCATION/ADE),1
HYDROLASE (GLUCOSIDASE),1
MYOGLOBIN (CARBONMONOXY),1
TOXIN-ANTITOXIN,1
"Transport, Transferase",1
"TRANSFERASE, KINASE",1
CELL MOTILITY FACTOR,1
METALLOENDOPEPTIDASE,1
MACROPHAGE SECRETORY PROTEIN,1
CRYSTALLINE CELLULOSE-BINDING PROTEIN,1
"TRANSLATION, RIBOSOME",1
SERINE PROTEASE INHIBITOR (RCMTI-V),1
TPP BINDING PROTEIN,1
CHITIN-BINDING,1
REVERSE TRANSCRIPTASE,1
"VIRAL PROTEIN, SUGAR BINDING PROTEIN",1
PEROXIDASE (DONOR: H2O2 OXIDOREDUCTASE),1
PROTEIN SYNTHESIS INHIBITOR(TOXIN),1
"TRANSCRIPTION, RNA BINDING PROTEIN",1
TRANSMEMBRANE,1
"transcription, DNA binding protein",1
HORMONE/GROWTH FACTOR/NEUROPEPTIDE,1
OXIDOREDUCTASE (CH-NH(D)-NAD OR NADP(A)),1
YEAST PROTEIN,1
"TRANSFERASE, RIBOSOMAL PROTEIN",1
"Transport Protein, Membrane protein",1
"Cell cycle, Replication",1
"APOPTOSIS, OXIDOREDUCTASE",1
PEPTIDE TRANSPORT,1
LIGASE/SUBSTRATE,1
LIGASE/Reaction intermediate,1
CYSTEINE PROTEINASE INHIBITOR,1
MBT,1
CELL CYCLE/PROTEIN FIBRIL,1
PANCREATIC RIBONUCLEASE,1
"ELECTRON TRANSPORT, MEMBRANE",1
"GENE REGULATION, HYDROLASE",1
"Oxidoreductase, Metal Binding Protein",1
TRANSCRIPTION/APOPTOSIS,1
HYDROLYTIC ENZYME,1
"TRANSFERASE(PHOSPHORYL,ALCOHOL ACCEPTOR)",1
OXIDOREDUCTASE (FLAVOPROTEIN),1
PROTEINASE INHIBITOR(KAZAL TYPE),1
Peptidoglycan-binding protein,1
MEMBRANE PROTEIN/Agonist,1
"TRANSLATION,TRANSFERASE",1
"Fluorescent Protein, replication",1
"toxin, hydrolase",1
"CELL ADHESION, RIBOSOMAL PROTEIN",1
"CELL CYCLE, Ligase",1
DNA BINDING DOMAIN,1
"VIRAL PROTEIN, TRANSFERASE",1
YJQ8WW DOMAIN,1
HYDROLYASE/TRANSLATION,1
NEUROTOXIN (POST-SYNAPTIC),1
"Structural genomics, UNKNOWN FUNCTION",1
BACTERIORHODOPSIN,1
"SIGNALING PROTEIN, FLAVOPROTEIN",1
ARMADILLO REPEAT,1
"SIGNALING PROTEIN, Hydrolase/Antagonist",1
CYCLO-LIGASE,1
PYROPHOSPHORYLASE,1
"De Novo Protein, hydrolase",1
PROHORMONE,1
"Transferase,Signaling Protein/INHIBITOR",1
LECTIN/IMMNUE SYSTEM,1
TRANSPORT PROTEIN/SUBSTRATE,1
"DNA BINDING PROTEIN, protein binding",1
HYDROLASE/LECTIN,1
"HYDROLASE,PROTEIN TRANSPORT",1
"Fluorescent Protein, transcription",1
EPIDERMAL GROWTH FACTOR,1
LEUCINE-RICH REPEATS,1
COLLAGEN-BINDING TYPE II DOMAIN,1
"gene regulation, cell cycle",1
OXIDOREDUCTASE (OXYGEN(A)),1
GLYCOSIDASE INHIBITOR,1
"Gene Regulation, Chaperone",1
MEMBRANE RECEPTOR,1
HISTIDINE-BINDING PROTEIN,1
"IMMUNE SYSTEM, LIPID BINDING PROTEIN",1
MOTOR PROTEIN/INHIBITOR,1
DNA-BINDING RECEPTOR,1
HYDROLASE ANGIOGENESIS,1
ELECTRON TRANSFER (IRON-SULFUR),1
SRC HOMOLOGY 2 DOMAIN,1
C-TYPE LECTIN,1
HYDROPHOBIC SEED PROTEIN,1
POLYSACCHARIDE-BINDING PROTEIN,1
ISOMERASE/ANTIBIOTIC,1
Substrate binding protein,1
NAD(P) binding protein,1
NUCLEAR IMPORT RECEPTOR,1
HYPERTHERMOPHILE,1
"Nucleotide-binding protein, Metal-binding protein",1
"photosynthesis, metal transport",1
"ALLERGEN, LIPID BINDING PROTEIN",1
pyridoxal phosphate binding,1
RNASE-2,1
CELL-SURFACE RECEPTOR,1
"TRANSFERASE , HYDROLASE",1
ADHESION GLYCOPROTEIN,1
PX DOMAIN,1
"Structural protein, CELL AHDESION",1
Actin-BINDING PROTEIN,1
LAMININ G-DOMAIN PROTEIN,1
Odorant Binding Protein,1
TRANSLATION FACTOR,1
ICE-BINDING PROTEIN,1
TRANSCRIPTIONAL ANTITERMINATOR,1
"Oxidoreductase, Viral protein",1
ARABINANASE,1
"Flavoprotein, oxidoreductase",1
ACTIN BINDING PEPTIDE,1
transherase/transferase inhibitor,1
FERRITIN,1
FATTY ACID METABOLISM,1
GROWTH RESPONSE PROTEIN,1
SWEET TASTE-SUPPRESSING PROTEIN,1
PUTATIVE SERINE PROTEINASE INHIBITOR,1
OXIDOREDUCTASE(ACTING ON NADH),1
TOXIN (EXOENZYME S),1
HOLLIDAY JUNCTION RESOLVASE,1
HIRUDIN,1
CHAPERONE REGULATOR,1
ELECTRON TRANSFER(IRON-SULFUR),1
LEISHMANOLYSIN,1
ELECTRON TRANSFER (FLAVOPROTEIN),1
"HYDROLASE, LIGAND BINDING PROTEIN",1
CELLULASE DEGRADATION,1
NEUROTOXIN(POTASSIUM CHANNEL INHIBITOR),1
"glycoprotein, immune system",1
"Transcription repressor, drug binding",1
Apoptosis inhibitor,1
POLYSACCHARIDE BINDING PROTEIN,1
"Isomerase, PROTEIN BINDING/INHIBITOR",1
HYDROLASE(ACTING ON LINEAR AMIDES),1
"SUGAR BINDING PROTEIN,SIGNALING PROTEIN",1
"structural genomics, METAL BINDING PROTEIN",1
"TOXIN, HYDROLASE INHIBITOR",1
Hormone activator,1
INTRACELLULAR LIPID TRANSPORT PROTEIN,1
"Transcription, Protein Binding",1
Prion Protein,1
"DNA BINDING PROTEIN,TRANSCRIPTION",1
"SIGNALING PROTEIN,PROTEIN BINDING",1
"TRANSFERASE, HYDROLASE/ANTIBIOTIC",1
"RECOMBINATION, REPLICATION",1
Signaling protein/antagonist,1
PANCREATIC STONE INHIBITOR,1
TRANSPORT AND PROTECTION PROTEIN,1
endocytosis/exocytosis,1
"RNA BINDING PROTEIN,Hydrolase",1
laminin binding protein,1
NOVEL SEQUENCE,1
METAL TRANSPORT INHIBITOR,1
SIGNAL RECOGNITION PARTICLE RECEPTOR,1
Transcription/Hormone,1
"FLUORESCENT PROTEIN, HYDROLASE",1
CELL-DIVISION PROTEIN,1
"Blood Coagulation,OXIDOREDUCTASE",1
"PROTEIN TRANSPORT, TOXIN",1
HUMAN FACTOR IX,1
Hormone/growth factor,1
BETA BETA ALPHA MOTIF,1
SNAKE TOXIN,1
COLLAGEN TYPE VI FRAGMENT,1
PROLINE PEPTIDASE,1
"Ligase, Transferase",1
"electron transport, oxidoreductase",1
OXIDOREDUCTASE (NADP),1
NUCLEAR PROTEIN receptor,1
"Transferase, Signaling protein",1
OXIDOREDUCTASE INHIBITOR,1
"TOXIN,LYASE",1
HEPARIN AND INTEGRIN BINDING,1
TRANSPORT PROTEIN/ANTAGONIST,1
PTERIN BINDING,1
SYNTHETIC PROTEIN,1
"ANTIVIRAL PROTEIN, RECOMBINATION",1
immune response,1
"HYDROLASE,LIGASE",1
PROTEIN DEGRADATION,1
BACTERICIDAL,1
CLASS 2 CYTOKINE RECEPTOR,1
"Cell Adhesion, Structural Protein, Electron Transport",1
BETA-DEFENSIN 12,1
"REPLICATION, CHAPERONE",1
TRANSFORMING GROWTH FACTOR,1
"MEMBRANE PROTEIN, RECEPTOR/Agonist",1
HYDROLASE(ACTING ON CYCLIC AMIDES),1
PERIPLASMIC SUGAR RECEPTOR,1
"SPLICING, TRANSPORT PROTEIN",1
HYDROLASE(BETA-LACTAMASE),1
TRANSCRIPTION REGULATION PROTEIN,1
"ANTIMICROBIAL PROTEIN, DE NOVO PROTEIN",1
"HYDROLASE, sugar binding protein",1
LANTIBIOTIC-BINDING-PROTEIN,1
"SIGNALING PROTEIN, apoptosis",1
COMPLEX (PHOSPHOTRANSFERASE/ADENOSINE),1
"DE NOVO PROTEIN, TOXIN",1
"Viral Protein, transferase",1
V-SRC SH2 DOMAIN,1
"RNA BINDING PROTEIN, DNA BINDING PROTEIN",1
CONNECTIN,1
GLUCARATE,1
CARBOHYDRATE KINASE,1
LEADER PEPTIDE,1
Ubiquitin Binding Protein,1
"hydrolase, cell cycle",1
Receptor/agonist,1
"TRANSFERASE, HYDROLASE, REPLICATION",1
"Viral Protein, Transferase",1
ELECTRON TRANSFER(FLAVOPROTEIN),1
copper binding protein,1
CELL CYCLE REGULATION,1
MAJOR BIRCH POLLEN ALLERGEN,1
"HYDROLASE, CHAPERONE",1
PI(4)P-BINDING PROTEIN,1
APOPROTEIN,1
"LIPID BINDING PROTEIN, TRANSPORT PROTEIN",1
PROTON PUMP,1
"Cytokine, Signaling Protein",1
"TRANSFERASE(THIOSULFATE,CYANIDE SULFUR)",1
"ANTIMICROBIAL PROTEIN, MEMBRANE PROTEIN",1
"STRUCTURAL PROTEIN, DE NOVO PROTEIN",1
"Membrane Protein, Transport Protein",1
PENICILLIN BINDING PROTEIN,1
PROTEINASE/INHIBITOR,1
"APOPTOSIS, ISOMERASE",1
"Cell adhesion, structural protein",1
PLANT DEFENSIN,1
SUGAR BINDING PROTEIN/ANTIVIRAL PROTEIN,1
ANTIVIRAL PROTEIN/IMMUNE SYSTEM,1
CALCIUM CHANNEL BLOCKER,1
PENICILLIN-BINDING,1
KUNITZ INHIBITOR,1
"Immune System, Membrane Protein",1
"SIGNALING PROTEIN, STRUCTURAL PROTEIN",1
SIGNAL,1
"SIGNALING PROTEIN, TRANSPORT PROTEIN",1
"ENDOCYTOSIS, HYDROLASE",1
"PROTEIN BINDING,METAL TRANSPORT",1
RNA BINDING PROTEIN/ss-DNA BINDING PROTEIN,1
"GENE REGULATION,NUCLEAR PROTEIN",1
"Antibiotic, Hormone",1
TUMOR SUPPRESSOR,1
IgG binding protein,1
ENZYME,1
Human serum albumin binding protein,1
EXCITATORY NEUROTOXIN,1
"SIGNALING PROTEIN, HYDROLASE REGULATOR",1
TRANSPORT PROTEIN REGULATOR,1
LIPOPROTEIN(SURFACE FILM),1
"OXIDOREDUCTASE,ISOMERASE",1
"CHAPERONE, PROTEIN BINDING",1
"MEMBRANE PROTEIN, DE NOVO PROTEIN",1
CHAPERONE BINDING PROTEIN,1
Transcription regulation,1
ANKYRIN BINDING,1
BIFUNCTIONAL ENZYME,1
Chitin Binding Protein,1
"Calcium Binding, Fluorescent, Transferase",1
NEURAMINIDASE,1
LIPID KINASE,1
"TRANSFERASE, MEMBRANE PROTEIN",1
"CELL CYCLE, APOPTOSIS",1
"SPLICING, RNA BINDING PROTEIN",1
"Viral protein, Transcription",1
Signaling Protein Inhibitor,1
"Biosynthetic Protein,Structural Protein",1
c-di-GMP binding protein,1
"CELL ADHESION, MEMBRANE PROTEIN",1
OXIDOREDUCTASE REGULATOR,1
METALLOPROTEINASE INHIBITOR,1
"REPLICATION, TRANSCRIPTION",1
"HYDROLASE,TOXIN",1
SPERMADHESIN,1
"STRUCTURAL GENOMICS, TRANSCRIPTION, PROTEIN BINDING",1
CYCLIC PEPTIDE,1
SYNTHETIC HORMONE,1
TRANSFERASE(GLUCOSYLTRANSFERASE),1
TRANSFERASE(GLYCOSYLTRANSFERASE),1
Iron binding protein,1
"antimicrobial, antitumor protein",1
TRANSCRIPTION INITIATION,1
CARBOXYL METHYLESTERASE,1
MEMBRANE PROTEIN / HYDROLASE,1
TRANSLATION/REGULATION PROTEIN,1
SEED PROTEIN,1
Oxioreductase/substrate,1
Zorbamycin Binding Protein,1
"Signaling Protein, Electron Transport",1
POLYMORPHIC ANTIGEN,1
SIGNALING PROTEIN REGULATION,1
DESIGNED PEPTIDE,1
HYDROLASE (ORGANOPHOSPHATE-DEGRADING),1
CURAREMIMETIC PROTEIN,1
LEUCOTOXIN,1
"DNA BINDING PROTEIN, STRUCTURAL PROTEIN",1
CIRCULAR PERMUTANT,1
"TRANSFERASE(PHOSPHO,ALCOHOL ACCEPTOR)",1
HYDROXYLASE REGULATORY PROTEIN,1
ELECTRON TRANSFER (CUPROPROTEIN),1
Hydrolase/Hydrolase substrate,1
"oxidoreductase, metal binding protein",1
TRANSPORT BINDING,1
"PLANT PROTEIN, LYASE",1
INHIBITOR/HORMONE,1
TRANSFERASE(ACYLTRANSFERASE),1
"SIGNALING PROTEIN, LIPID TRANSPORT",1
HYDROLASE (CARBOXYPEPTIDASE),1
"CELL CYCLE, ANTITUMOR PROTEIN",1
DEATH DOMAIN,1
MEMBRANE PROTEIN INHIBITOR,1
ISOMERASE(INTRAMOLECULAR ALDOSE/KETOSE),1
ENDOGLYCOSIDASE,1
"VIRAL PROTEIN,RNA BINDING PROTEIN",1
PHOSPHOTYROSINE PROTEIN PHOSPHATASE,1
"SUGAR BINDING PROTEIN, SPLICING",1
PLANT SEED STORAGE PROTEIN (VICILIN),1
ribosome-binding protein,1
BIFUNCTIONAL(ISOMERASE AND SYNTHASE),1
NITROGEN REGULATORY PROTEIN,1
TRANSLATIONAL GTPASE,1
TOXIN BINDING PROTEIN,1
HEXAMERIZATION DOMAIN,1
IMMUNE SYSTEM/TRANSPORT,1
PLASMINOGEN,1
Cytokine receptor,1
METALLOPROTEASE INHIBITOR,1
RNA-BINDING DOMAIN,1
DESIGNED HELICAL BUNDLE,1
HYDROLASE(SERINE ESTERASE),1
HYDROLASE(THIOL PROTEASE),1
Hormone Binding Protein,1
BINDING PROTEIN(IMMUNOGLOBULIN L CHAIN),1
TYROSINE KINASE,1
"HYDROLASE, TRANSPEPTIDASE",1
RESTRICTION ENDONUCLEASE,1
"OXIDOREDUCTASE,TRANSFERASE",1
MOLTEN GLOBULE STATE,1
Replication/Recombination,1
"LIGASE, ISOMERASE",1
"Hydrolase, sugar binding protein",1
Sialic acid-binding protein,1
"sugar binding protein, plant protein",1
CELL CYCLE/TRANSPORT PROTEIN,1
MEMBRANE ADHESION,1
"allergen, plant protein",1
"PROTON TRANSPORT, HYDROLASE",1
Protease,1
REGULATORY FACTOR,1
OXIDOREDUCTASES,1
NUCLEAR PROTEIN/RNA BINDING PROTEIN,1
"DE NOVO PROTEIN, Antimicrobial peptide",1
"LIPID BINDING PROTEIN, ANTIMICROBIAL PROTEIN, ALLERGEN",1
Heparin-binding Protein,1
Transcription Repressor,1
Exchange Factor,1
"Hydrolase, Antiviral protein",1
Iron Binding Protein,1
"Translation,protein Binding",1
Transferase/transferase activator,1
MEMBRANE PROTEINS,1
PHOSPHOLIPASE A2 INHIBITOR,1
apoptosis activator,1
HORMONE/GENE REGULATION,1
TRANSMEMBRANE CHANNEL,1
Phosphate binding protein,1
LACTOFERRIN,1
PATHOGENESIS-RELATED PROTEIN,1
NEURAL ADHESION MOLECULE,1
PROTEINASE INHIBITOR(CYSTEINE),1
OUTER MEMBRANE,1
HYDROLASE (GLYCOSYL),1
"TRANSCRIPTION,SIGNALING PROTEIN",1
TRYPAREDOXIN,1
Penicillin Binding Protein/Antibiotic,1
Rna binding protein/inhibitor,1
LYSINE BINDING SITE,1
METHYL-CPG-BINDING PROTEIN,1
"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",1
TRANSFERASE(GLUCANOTRANSFERASE),1
TRANSFERASE (GLUCOSYLTRANSFERASE),1
"STRUCTURAL PROTEIN, CELL CYCLE",1
KINASE (GLYCOGEN METABOLISM),1
SURFACE GLYCOPROTEIN,1
"IMMUNE SYSTEM,HYDROLASE INHIBITOR",1
antimicrobial,1
